"sample_id","subclass_label","Kcnc1","Kcnd1","Kcnd2","Kcnd3","Kcnab1","Kcnip1","Kcnip2","Hcn1","Hcn2","Hcn3","Cacna1g","Scn1a","Scn3a","Scn8a"
"LS-15090_S26_E1-50","L6 CT",3.10328612525539,0,7.30320805619826,5.70757296157015,0,0,5.16207471876724,6.52551892496438,1.53527412899815,0,2.4408676136174,7.58102210620759,5.63594293228733,7.00930188830345
"LS-15090_S27_E1-50","L6b",3.9498923909198,0,5.89072689421754,5.55282358372892,0,0,0,4.50339598474894,0,0,0.600467836379068,5.31163433502561,5.6149264989587,5.77309037111827
"LS-15090_S28_E1-50","L6b",4.00423319257248,0,5.77450626225115,0,5.31078828553166,0,4.26838777343224,3.4867755695394,4.52563865541273,3.554327174179,0,6.0092671450129,5.23046259845458,7.39342789130702
"LS-15090_S29_E1-50","L6 IT",4.26162358183613,0,2.7212032537908,4.85654396240814,7.49197508297555,0,4.41136305498224,3.43160890313071,2.7212032537908,0,5.40113258049113,0,4.98951330644829,7.62057099677328
"LS-15090_S30_E1-50","L6 IT",3.37086214531056,0,6.19817533701503,0,6.90867827370718,0,4.70678996617885,4.60659071054553,4.01664159134692,0,6.13962213708241,5.52270946299371,5.28407263656591,7.78915299039029
"LS-15090_S31_E1-50","L6 IT",4.12446863863256,3.36694637504497,6.91915412538295,4.58606682064017,6.95145587634013,0,0,3.20489963513314,2.10041919710046,0,6.46174139830364,1.90314746841504,5.17295242781766,7.57875494388649
"LS-15090_S32_E1-50","L6 CT",0,0,6.31376945597474,5.56727889947233,6.16787977969356,0,6.01696861900705,7.53240099076565,2.34495928829555,0,0,5.75611560245972,4.83507057029867,7.62849819505839
"LS-15090_S33_E1-50","L4",0,0,4.09116756926418,2.76037763846299,0,0,5.9682716388396,0,5.41662521287045,0,6.12240523418295,4.51219190269478,4.14449177373904,8.26864725219856
"LS-15090_S34_E1-50","L4",0,0,7.0029658427128,7.52196573818176,4.78709922114493,0,8.33373384159331,0,4.10409852002633,1.10898609791525,7.77152073158609,8.74506192362154,6.18448432201306,9.64674325962314
"LS-15090_S35_E1-50","L4",0,0,3.63017993295368,6.68425098933384,8.60654345640502,0,0,0,4.0509766721834,0,5.94262374164692,7.8140821817997,7.46371571352353,7.79085419549332
"LS-15090_S36_E1-50","L4",3.22650515180148,0,5.20992950449696,6.67189925989347,4.55505739381864,0,3.12381563026457,4.43151649795271,3.92102258392376,0,4.55505739381864,6.98184890113568,5.78184018020713,8.76725375235113
"LS-15090_S37_E1-50","L4",7.58016705739921,0,7.68332282760831,0.804484010637359,0,0,4.80088731874131,6.86679375122852,2.63822381815817,0,6.09142252838051,7.6675174829874,6.60438587453863,8.8964350183393
"LS-15090_S38_E1-50","L4",3.33786561234054,0,7.16922465219469,2.14295449720271,0,0,6.67751947785268,0,0,0,5.79873740368238,8.23952777993963,3.7578488226088,6.87241394814783
"LS-15090_S39_E1-50","L4",0,0,5.72127140431671,0,7.27857875978039,0,5.67944722587156,0,4.36436543725891,0,4.62158018714793,6.33799010079874,5.81438931451619,8.28558842281917
"LS-15090_S40_E1-50","L4",5.48353060423023,0,6.67229250206726,7.07463895929899,7.06080367494236,0,1.19314380080386,0,4.09434647137667,0,5.13308552209897,6.47776737738028,4.99440365807468,8.50186816113317
"LS-15090_S41_E1-50","L4",6.29792556461819,0,7.71990462686541,7.43733311742072,7.28872819490418,0,7.88702990167443,0,3.55022182415249,0,2.8580043148005,5.36384826947166,8.07550609999362,9.78214769502057
"LS-15090_S42_E1-50","L4",4.08593863209711,0,6.44796038922667,0,6.02077321686892,0,0,7.04497109830517,5.46439159975073,0,4.81606119288918,5.9228238033806,6.63743590621674,7.48327953063357
"LS-15090_S43_E1-50","L4",5.33976962274678,0,7.64412774502422,0,4.81282136431823,0,7.32678814326348,5.63782265667338,2.03487148627803,0,0,6.61188344465428,4.45355512029324,9.75059183047286
"LS-15090_S44_E1-50","L4",5.47368186768908,0,6.3028338515841,6.33509086414494,1.75706451191562,0,7.19752065065731,0,0,4.14246872297075,6.3136665237283,1.13096271401252,6.65769802822011,7.4392658207361
"LS-15090_S45_E1-50","L4",3.84391217306503,0,6.55489912119325,7.3158948243568,0,0,5.00771886845737,4.65790470166188,0,0,5.07279327528719,3.23440976130641,2.6876592226419,7.94494652333054
"LS-15090_S46_E1-50","L4",0,0,6.68369148670588,0,7.72763666908892,0,6.95012048231297,0,0,0,4.02956525725711,6.35665648382167,6.39920732552846,8.23304286774151
"LS-15090_S47_E1-50","L4",0.658183902205177,0,7.67588211242823,1.45116335775202,5.26963778409948,0,4.19714550885184,7.15616635838729,5.10975754595689,0,6.06399491701778,5.8201050063095,6.86565862774769,8.49877412597776
"LS-15090_S48_E1-50","L4",5.50537374574353,0,7.0140825254265,6.07971026540954,3.46351274474594,0,6.8264506915947,0,5.0857445564506,4.24129012004874,6.64210351839587,6.86243096435131,7.98827886691101,7.62965288262405
"LS-15090_S49_E1-50","L6 IT",4.15533226243179,3.79643693371636,4.15533226243179,6.22887517707705,6.31266450255707,0,6.29216895979717,5.11427116590187,5.09072939627287,4.94079163996089,4.47922251973421,6.51192904679099,6.63909584897274,6.39185344424217
"LS-15090_S50_E1-50","L6 CT",4.12124087250578,0,5.14753916803119,3.11346755351534,0,0,5.42962646019919,5.71136241459998,0,0,0,6.64332337256609,0.629246860590332,7.01056964654799
"LS-15090_S51_E1-50","L6 IT",6.12194092204647,0,3.99871967052685,2.76573788574114,6.31825067078158,0,6.67289688338139,5.32756031185666,4.50802233294869,4.08343747909037,2.41973253903468,5.0402466010238,3.59913946470403,7.58457311473374
"LS-15090_S52_E1-50","L6 IT",0,0,5.88557747859317,4.82068358070338,6.39784848734395,0,4.73967912833318,5.41485705247052,5.48280570055343,0,4.71163439060075,0.598686690903835,4.59366352657007,6.63282723579809
"LS-15090_S53_E1-50","L6 IT",4.34236468677624,0,5.45089633772358,0,7.63709958259347,0,0,5.41609676949452,3.0526160301486,5.08053739931941,4.34236468677624,0,5.45089633772358,7.2543341558195
"LS-15090_S54_E1-50","L6 IT",5.30965140328781,0,6.0171568917785,0,6.85771982533631,0,6.02829816621784,6.2056133919785,2.70553758696004,0,5.32780065218084,6.1758643448963,5.02820569167298,7.01160059773278
